shot_name,match_id,index
non_goals/0,22912,342
non_goals/1,22912,587
non_goals/2,22912,758
non_goals/3,22912,768
non_goals/4,22912,1347
non_goals/5,22912,1353
non_goals/6,22912,1402
non_goals/7,22912,1423
non_goals/8,22912,1561
non_goals/9,22912,1885
non_goals/10,22912,1916
non_goals/11,22912,1960
non_goals/12,22912,2033
non_goals/13,22912,2039
non_goals/14,22912,2178
non_goals/15,22912,2435
non_goals/16,22912,2582
non_goals/17,22912,2794
non_goals/18,22912,2844
non_goals/19,22912,2851
non_goals/20,22912,2887
non_goals/21,22912,2913
non_goals/22,22912,2948
non_goals/23,22912,2971
goals/0,22912,2980
non_goals/24,22912,3076
non_goals/25,22912,3092
non_goals/26,22912,3104
non_goals/27,18245,153
non_goals/28,18245,245
non_goals/29,18245,398
non_goals/30,18245,467
non_goals/31,18245,628
non_goals/32,18245,638
non_goals/33,18245,644
non_goals/34,18245,748
non_goals/35,18245,873
non_goals/36,18245,1078
non_goals/37,18245,1083
non_goals/38,18245,1250
non_goals/39,18245,1308
non_goals/40,18245,1728
non_goals/41,18245,1813
non_goals/42,18245,1914
non_goals/43,18245,2025
goals/1,18245,2110
non_goals/44,18245,2173
goals/2,18245,2176
non_goals/45,18245,2424
goals/3,18245,2538
non_goals/46,18245,2721
non_goals/47,18245,2835
non_goals/48,18245,2843
non_goals/49,18245,3161
goals/4,18245,3210
non_goals/50,18245,3407
non_goals/51,18244,155
non_goals/52,18244,189
non_goals/53,18244,319
goals/5,18244,938
non_goals/54,18244,1040
non_goals/55,18244,1197
goals/6,18244,1245
non_goals/56,18244,1378
non_goals/57,18244,1418
non_goals/58,18244,1589
non_goals/59,18244,1803
non_goals/60,18244,1829
non_goals/61,18244,2179
non_goals/62,18244,2226
non_goals/63,18244,2349
non_goals/64,18244,2433
goals/7,18244,2437
goals/8,18244,2495
non_goals/65,18244,2768
non_goals/66,18244,2865
non_goals/67,18244,2871
non_goals/68,18244,3023
goals/9,18244,3299
non_goals/69,18244,3333
non_goals/70,18244,3385
non_goals/71,18243,132
non_goals/72,18243,160
non_goals/73,18243,163
non_goals/74,18243,301
goals/10,18243,500
non_goals/75,18243,836
non_goals/76,18243,943
non_goals/77,18243,1352
non_goals/78,18243,1638
non_goals/79,18243,1803
non_goals/80,18243,2176
non_goals/81,18243,2178
non_goals/82,18243,2180
non_goals/83,18243,2190
non_goals/84,18243,2248
non_goals/85,18243,2286
non_goals/86,18243,2333
non_goals/87,18243,2420
non_goals/88,18243,2446
non_goals/89,18243,2496
non_goals/90,18243,2715
non_goals/91,18243,2831
non_goals/92,18243,2910
non_goals/93,18243,2948
non_goals/94,18243,2996
non_goals/95,18243,3006
goals/11,18243,3041
non_goals/96,18243,3325
non_goals/97,18243,3330
non_goals/98,18243,3674
non_goals/99,18243,3719
non_goals/100,18243,3741
non_goals/101,18243,4018
non_goals/102,18243,4023
non_goals/103,18243,4044
non_goals/104,18243,4194
non_goals/105,18243,4200
non_goals/106,18243,4272
non_goals/107,18243,4573
non_goals/108,18243,4584
non_goals/109,18243,4675
non_goals/110,18242,52
non_goals/111,18242,69
goals/12,18242,148
non_goals/112,18242,296
non_goals/113,18242,328
non_goals/114,18242,533
non_goals/115,18242,588
non_goals/116,18242,998
non_goals/117,18242,1109
non_goals/118,18242,1657
non_goals/119,18242,1682
non_goals/120,18242,1863
non_goals/121,18242,1868
non_goals/122,18242,1979
non_goals/123,18242,1996
non_goals/124,18242,2067
non_goals/125,18242,2254
goals/13,18242,2257
non_goals/126,18242,2332
non_goals/127,18242,2555
non_goals/128,18242,2605
non_goals/129,18242,2760
goals/14,18242,2763
non_goals/130,18242,2942
non_goals/131,18242,3007
non_goals/132,18242,3023
non_goals/133,18242,3112
non_goals/134,18242,3227
non_goals/135,18242,3232
non_goals/136,18242,3328
goals/15,18242,3428
non_goals/137,18241,603
non_goals/138,18241,1200
non_goals/139,18241,1202
non_goals/140,18241,1221
goals/16,18241,1299
non_goals/141,18241,1385
non_goals/142,18241,1873
non_goals/143,18241,1960
non_goals/144,18241,1966
non_goals/145,18241,2029
non_goals/146,18241,2291
non_goals/147,18241,2357
non_goals/148,18241,2438
non_goals/149,18241,2666
non_goals/150,18241,2705
non_goals/151,18241,2818
non_goals/152,18241,3305
goals/17,18241,3311
non_goals/153,18241,3598
non_goals/154,18241,3879
non_goals/155,18241,4014
non_goals/156,18241,4022
non_goals/157,18241,4077
goals/18,18241,4081
non_goals/158,18241,4106
goals/19,18241,4225
non_goals/159,18241,4260
non_goals/160,18240,137
non_goals/161,18240,481
non_goals/162,18240,625
non_goals/163,18240,638
non_goals/164,18240,832
non_goals/165,18240,933
non_goals/166,18240,1135
non_goals/167,18240,1140
non_goals/168,18240,1234
non_goals/169,18240,1242
non_goals/170,18240,1248
non_goals/171,18240,1420
non_goals/172,18240,1506
non_goals/173,18240,1745
non_goals/174,18240,2384
non_goals/175,18240,2386
goals/20,18240,2418
non_goals/176,18240,2494
non_goals/177,18240,2521
non_goals/178,18240,2580
non_goals/179,18240,2653
non_goals/180,18240,2753
non_goals/181,18240,2816
non_goals/182,18240,2856
non_goals/183,18240,2903
non_goals/184,18240,3088
non_goals/185,18240,3221
goals/21,18240,3240
non_goals/186,18240,3270
non_goals/187,18237,140
non_goals/188,18237,162
non_goals/189,18237,327
non_goals/190,18237,537
non_goals/191,18237,772
non_goals/192,18237,897
non_goals/193,18237,1265
non_goals/194,18237,1324
non_goals/195,18237,1343
non_goals/196,18237,1439
non_goals/197,18237,1513
non_goals/198,18237,1519
non_goals/199,18237,1534
non_goals/200,18237,1537
non_goals/201,18237,1640
non_goals/202,18237,1968
non_goals/203,18237,2037
non_goals/204,18237,2151
non_goals/205,18237,2169
non_goals/206,18237,2245
non_goals/207,18237,2367
non_goals/208,18237,2432
non_goals/209,18237,2547
non_goals/210,18237,2624
non_goals/211,18237,2724
non_goals/212,18237,2829
non_goals/213,18237,2854
non_goals/214,18237,2909
non_goals/215,18237,2954
non_goals/216,18237,3053
non_goals/217,18237,3107
non_goals/218,18237,3243
goals/22,18237,3264
non_goals/219,18237,3281
goals/23,18237,3341
non_goals/220,18237,3424
non_goals/221,18237,3591
non_goals/222,18237,3619
non_goals/223,18237,3698
non_goals/224,18237,3721
non_goals/225,18237,3759
non_goals/226,18237,4251
non_goals/227,18237,4404
non_goals/228,18237,4428
non_goals/229,18237,4610
non_goals/230,18236,140
non_goals/231,18236,528
non_goals/232,18236,542
non_goals/233,18236,837
non_goals/234,18236,1046
non_goals/235,18236,1120
goals/24,18236,1513
non_goals/236,18236,1598
goals/25,18236,1787
non_goals/237,18236,1883
non_goals/238,18236,1988
non_goals/239,18236,2170
non_goals/240,18236,2289
non_goals/241,18236,2324
non_goals/242,18236,2506
non_goals/243,18236,2510
goals/26,18236,2604
non_goals/244,18236,2887
non_goals/245,18236,2980
